SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#
MLS Listing,,Multi-Family (2-4 Unit),1433 W El Segundo Blvd,Los Angeles,CA,90249,650000,6,3,C36 - Metropolitan Southwest,2300,6500,1956,107,283,,Active,,,http://www.redfin.com/CA/Gardena/1433-W-El-Segundo-Blvd-90249/home/7323969,CRISNet,SR17066868
MLS Listing,,Multi-Family (2-4 Unit),1259 South Muirfield Rd,Los Angeles (City),CA,90019,799000,4,4,Hancock Park,2260,4960,1929,107,354,,Active,,,http://www.redfin.com/CA/Los-Angeles/1259-S-Muirfield-Rd-90019/home/6912194,TheMLS,17-216506
MLS Listing,,Multi-Family (2-4 Unit),414 W Center St,Pomona,CA,91768,387000,4,2,687 - Pomona,1444,5580,1885,108,268,,Active,,,http://www.redfin.com/CA/Pomona/414-W-Center-St-91768/home/7900393,CRMLS,CV17065776
MLS Listing,,Multi-Family (5+ Unit),10014 Long Beach Blvd,Lynwood,CA,90262,899000,5,5,RM - Lynwood,3046,14057,1940,108,295,,Active,,,http://www.redfin.com/CA/Lynwood/10014-Long-Beach-Blvd-90262/home/109000262,CRMLS,PW17064858
MLS Listing,,Multi-Family (2-4 Unit),233 235 E Fremont,Montebello,CA,90640,589000,4,2,674 - Montebello,1536,3270,1948,109,383,,Active,,,http://www.redfin.com/CA/Montebello/235-E-Fremont-Sq-90640/home/113607807,CRMLS,DW17062927
MLS Listing,,Multi-Family (2-4 Unit),220 W Santa Cruz St,San Pedro,CA,90731,615000,5,3,189 - Barton Hill,2586,5000,1910,109,238,,Active,,,http://www.redfin.com/CA/Los-Angeles/220-W-Santa-Cruz-St-90731/home/7688443,CRISNet,SR17026055
MLS Listing,,Multi-Family (2-4 Unit),1963 E 111TH St E,Los Angeles,CA,90059,437000,14,8,C34 - Los Angeles Southwest,2606,6412,1919,109,168,,Active,,,http://www.redfin.com/CA/Los-Angeles/1963-E-111th-St-90059/home/7313132,CRMLS,DW17063358
MLS Listing,,Multi-Family (2-4 Unit),11475 Oxnard St,North Hollywood,CA,91606,875000,4,4,North Hollywood (NHO),1904,6681,1941,110,460,,Active,,,http://www.redfin.com/CA/Los-Angeles/11475-Oxnard-St-91606/home/5150395,TheMLS,17-215238
MLS Listing,,Multi-Family (2-4 Unit),4261 Fountain Ave,Los Angeles,CA,90029,629900,2,2,637 - Los Feliz,899,1834,1924,110,701,,Active,,,http://www.redfin.com/CA/Los-Angeles/4261-Fountain-Ave-90029/home/7061475,CRISNet,SR17063057
MLS Listing,,Multi-Family (2-4 Unit),426 Isabel St,Los Angeles,CA,90065,554000,2,2,680 - Mount Washington,1184,4010,1926,112,468,,Active,,,http://www.redfin.com/CA/Los-Angeles/426-Isabel-St-90065/home/7069559,CRMLS,PW17061493
MLS Listing,,Multi-Family (2-4 Unit),1101 West 67th St,Los Angeles (City),CA,90044,293000,2,2,Los Angeles Southwest,702,2872,1926,112,417,,Active,,,http://www.redfin.com/CA/Los-Angeles/1101-W-67th-St-90044/home/7278479,TheMLS,17-214486
MLS Listing,,Multi-Family (2-4 Unit),409 W 109th St,Los Angeles,CA,90061,550000,9,6,699 - Not Defined,5246,5247,1925,113,105,,Active,,,http://www.redfin.com/CA/Los-Angeles/409-W-109th-St-90061/home/7311009,CRMLS,DW17060777
MLS Listing,,Multi-Family (2-4 Unit),2126 S Broden St,Anaheim,CA,92802,699800,4,8,78 - Anaheim East of Harbor,3434,2374,1964,113,204,840,Active,,,http://www.redfin.com/CA/Anaheim/2126-Broden-St-92802/home/5223979,CRMLS,PW17061290
MLS Listing,,Multi-Family (2-4 Unit),615 E 109th St,Los Angeles,CA,90059,465000,5,2,C37 - Metropolitan South,1520,5805,1951,113,306,,Active,,,http://www.redfin.com/CA/Los-Angeles/615-E-109th-St-90059/home/7315247,CRMLS,DW17059636
MLS Listing,,Multi-Family (2-4 Unit),1226 E Madison Ave,Santa Ana,CA,92707,800000,8,4,69 - Santa Ana South of First,3600,6970,1964,113,222,,Active,,,http://www.redfin.com/CA/Santa-Ana/1226-E-Madison-Ave-92707/home/3088643,CRMLS,OC17061198
MLS Listing,,Multi-Family (2-4 Unit),5012 Mckinley Ave,Los Angeles,CA,90011,850000,8,4,C24 - Northern,3024,5232,1965,114,281,,Active,,,http://www.redfin.com/CA/Los-Angeles/5012-McKinley-Ave-90011/home/8091104,CRMLS,CV17060659
MLS Listing,,Multi-Family (2-4 Unit),3916 Melrose Ave,Los Angeles (City),CA,90029,839000,4,2,Silver Lake/Echo Park,2040,5039,1923,114,411,,Active,,,http://www.redfin.com/CA/Los-Angeles/3916-Melrose-Ave-90029/home/7110819,TheMLS,17-214314
MLS Listing,,Multi-Family (2-4 Unit),2854 S Orange Dr,Los Angeles,CA,90016,850000,6,4,C16 - Mid Los Angeles,3029,4810,1972,114,281,,Active,,,http://www.redfin.com/CA/Los-Angeles/2854-S-Orange-Dr-90016/home/6891795,CRMLS,PW17060440
MLS Listing,,Multi-Family (2-4 Unit),5400 South Figueroa St,Los Angeles (City),CA,90037,429000,4,2,Downtown Los Angeles,1758,4909,1957,114,244,,Active,,,http://www.redfin.com/CA/Los-Angeles/5400-S-Figueroa-St-90037/home/6862052,TheMLS,17-214104
MLS Listing,,Multi-Family (5+ Unit),5305 S Hoover St,Los Angeles,CA,90037,728000,7,6,C34 - Los Angeles Southwest,4698,7787,1913,115,155,,Active,,,http://www.redfin.com/CA/Los-Angeles/5305-S-Hoover-St-90037/home/6861346,CRMLS,AR17058793
MLS Listing,,Multi-Family (2-4 Unit),2297 Glenrose Ave,Altadena,CA,91001,639900,4,3,604 - Altadena,2096,7936,1913,115,305,,Active,,,http://www.redfin.com/CA/Altadena/2297-Glenrose-Ave-91001/home/7251647,CRISNet,SR17059119
MLS Listing,,Multi-Family (2-4 Unit),890 N Redding Way,Upland,CA,91786,895888,8,4,690 - Upland,3821,7980,1962,117,234,,Active,,,http://www.redfin.com/CA/Upland/890-N-Redding-Way-91786/home/4005328,CRMLS,CV17035585
MLS Listing,,Multi-Family (2-4 Unit),880 N Redding Way,Upland,CA,91786,895888,8,4,690 - Upland,3821,7980,1962,117,234,,Active,,,http://www.redfin.com/CA/Upland/880-N-Redding-Way-91786/home/4005327,CRMLS,CV17035582
MLS Listing,,Multi-Family (2-4 Unit),1165 E Elma St,Ontario,CA,91764,525888,5,3,686 - Ontario,2152,6690,1956,117,244,,Active,,,http://www.redfin.com/CA/Ontario/1165-E-Elma-St-91764/home/4025888,CRMLS,CV17035577
MLS Listing,,Multi-Family (2-4 Unit),862 W Orange Grove Ave,Pomona,CA,91768,429900,8,4,687 - Pomona,1728,6217,1957,117,249,,Active,,,http://www.redfin.com/CA/Pomona/862-W-Orange-Grove-Ave-91768/home/7905666,CRMLS,CV17057023
MLS Listing,,Multi-Family (2-4 Unit),11900 E Firestone Blvd,Norwalk,CA,90650,650000,2,2,M1 - Norwalk,2562,5970,1956,117,254,,Active,,,http://www.redfin.com/CA/Norwalk/11900-Firestone-Blvd-90650/home/17500951,CRMLS,OC17053991
