2016/2017,9283,GENERAL,1
2016/2017,9283,METRO WATER DIST,0.0035
2016/2017,9283,UNIFIED SCHOOLS,0.100515
2016/2017,9285,CITY-TEMPLE CITY,0
2016/2017,9285,COMMNTY COLLEGE,0.00885
2016/2017,9285,COUNTY,0
2016/2017,9285,GENERAL,1
2016/2017,9285,METRO WATER DIST,0.0035
2016/2017,9285,UNIFIED SCHOOLS,0.100515
2016/2017,9286,CITY-TEMPLE CITY,0
2016/2017,9286,COMMNTY COLLEGE,0.00885
2016/2017,9286,COUNTY,0
2016/2017,9286,GENERAL,1
2016/2017,9286,METRO WATER DIST,0.0035
2016/2017,9286,UNIFIED SCHOOLS,0.100515
2016/2017,9287,COMMNTY COLLEGE,0.023996
2016/2017,9287,COUNTY,0
2016/2017,9287,GENERAL,1
2016/2017,9287,METRO WATER DIST,0.0035
